Start (s),End (s),Scientific name,Common name,Confidence
10002.0,10005.0,Geothlypis formosa,Kentucky Warbler,0.1653
10002.0,10005.0,Limnothlypis swainsonii,Swainson's Warbler,0.1308
10005.0,10008.0,Limnothlypis swainsonii,Swainson's Warbler,0.2202
10005.0,10008.0,Geothlypis formosa,Kentucky Warbler,0.1843
10005.0,10008.0,Setophaga citrina,Hooded Warbler,0.1382
10005.0,10008.0,Helmitheros vermivorum,Worm-eating Warbler,0.1265
10005.0,10008.0,Empidonax virescens,Acadian Flycatcher,0.1261
10011.0,10014.0,Vireo olivaceus,Red-eyed Vireo,0.1610
10023.0,10026.0,Empidonax virescens,Acadian Flycatcher,0.1878
10029.0,10032.0,Helmitheros vermivorum,Worm-eating Warbler,0.1994
10029.0,10032.0,Geothlypis formosa,Kentucky Warbler,0.1508
10029.0,10032.0,Empidonax virescens,Acadian Flycatcher,0.1364
10032.0,10035.0,Limnothlypis swainsonii,Swainson's Warbler,0.1942
10032.0,10035.0,Geothlypis formosa,Kentucky Warbler,0.1894
10032.0,10035.0,Setophaga citrina,Hooded Warbler,0.1368
10032.0,10035.0,Helmitheros vermivorum,Worm-eating Warbler,0.1211
10035.0,10038.0,Geothlypis formosa,Kentucky Warbler,0.2073
10035.0,10038.0,Limnothlypis swainsonii,Swainson's Warbler,0.1009
10038.0,10041.0,Geothlypis formosa,Kentucky Warbler,0.3594
10038.0,10041.0,Helmitheros vermivorum,Worm-eating Warbler,0.1193
10041.0,10044.0,Empidonax virescens,Acadian Flycatcher,0.8760
10044.0,10047.0,Helmitheros vermivorum,Worm-eating Warbler,0.1052
10047.0,10050.0,Empidonax virescens,Acadian Flycatcher,0.1594
10047.0,10050.0,Geothlypis formosa,Kentucky Warbler,0.1365
10047.0,10050.0,Helmitheros vermivorum,Worm-eating Warbler,0.1152
10047.0,10050.0,Limnothlypis swainsonii,Swainson's Warbler,0.1087
10050.0,10053.0,Vireo olivaceus,Red-eyed Vireo,0.1231
10050.0,10053.0,Limnothlypis swainsonii,Swainson's Warbler,0.1175
10050.0,10053.0,Geothlypis formosa,Kentucky Warbler,0.1105
10050.0,10053.0,Helmitheros vermivorum,Worm-eating Warbler,0.1063
