Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Seiurus aurocapilla,Ovenbird,0.1920
10002.0,10005.0,Vireo solitarius,Blue-headed Vireo,0.3433
10002.0,10005.0,Pipilo erythrophthalmus,Eastern Towhee,0.3125
10002.0,10005.0,Vireo olivaceus,Red-eyed Vireo,0.1140
10005.0,10008.0,Vireo solitarius,Blue-headed Vireo,0.5857
10005.0,10008.0,Pipilo erythrophthalmus,Eastern Towhee,0.2945
10005.0,10008.0,Empidonax virescens,Acadian Flycatcher,0.2496
10005.0,10008.0,Vireo olivaceus,Red-eyed Vireo,0.1519
10008.0,10011.0,Vireo olivaceus,Red-eyed Vireo,0.2606
10008.0,10011.0,Vireo solitarius,Blue-headed Vireo,0.2102
10008.0,10011.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1759
10008.0,10011.0,Pipilo erythrophthalmus,Eastern Towhee,0.1439
10011.0,10014.0,Piranga olivacea,Scarlet Tanager,0.3546
10011.0,10014.0,Pipilo erythrophthalmus,Eastern Towhee,0.1957
10011.0,10014.0,Empidonax virescens,Acadian Flycatcher,0.1295
10014.0,10017.0,Empidonax virescens,Acadian Flycatcher,0.3005
10014.0,10017.0,Vireo olivaceus,Red-eyed Vireo,0.1903
10014.0,10017.0,Piranga olivacea,Scarlet Tanager,0.1827
10017.0,10020.0,Piranga olivacea,Scarlet Tanager,0.4875
10017.0,10020.0,Pipilo erythrophthalmus,Eastern Towhee,0.2063
10017.0,10020.0,Vireo solitarius,Blue-headed Vireo,0.1677
10017.0,10020.0,Vireo olivaceus,Red-eyed Vireo,0.1055
10017.0,10020.0,Geothlypis formosa,Kentucky Warbler,0.1038
10020.0,10023.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1265
10023.0,10026.0,Empidonax virescens,Acadian Flycatcher,0.4332
10023.0,10026.0,Geothlypis formosa,Kentucky Warbler,0.1294
10026.0,10029.0,Vireo solitarius,Blue-headed Vireo,0.3151
10026.0,10029.0,Pipilo erythrophthalmus,Eastern Towhee,0.1848
10026.0,10029.0,Vireo olivaceus,Red-eyed Vireo,0.1468
10029.0,10032.0,Empidonax virescens,Acadian Flycatcher,0.4254
10029.0,10032.0,Geothlypis formosa,Kentucky Warbler,0.1409
10032.0,10035.0,Empidonax virescens,Acadian Flycatcher,0.1861
10032.0,10035.0,Vireo olivaceus,Red-eyed Vireo,0.1840
10035.0,10038.0,Empidonax virescens,Acadian Flycatcher,0.3147
10038.0,10041.0,Empidonax virescens,Acadian Flycatcher,0.3876
10038.0,10041.0,Limnothlypis swainsonii,Swainson's Warbler,0.1239
10038.0,10041.0,Helmitheros vermivorum,Worm-eating Warbler,0.1140
10038.0,10041.0,Vireo olivaceus,Red-eyed Vireo,0.1104
10041.0,10044.0,Empidonax virescens,Acadian Flycatcher,0.2154
10041.0,10044.0,Vireo olivaceus,Red-eyed Vireo,0.1395
10041.0,10044.0,Vireo solitarius,Blue-headed Vireo,0.1213
10044.0,10047.0,Empidonax virescens,Acadian Flycatcher,0.2806
10044.0,10047.0,Piranga olivacea,Scarlet Tanager,0.1170
10047.0,10050.0,Vireo solitarius,Blue-headed Vireo,0.2404
1005.0,1008.0,Hylocichla mustelina,Wood Thrush,0.1289
10050.0,10053.0,Empidonax virescens,Acadian Flycatcher,0.3677
10053.0,10056.0,Vireo olivaceus,Red-eyed Vireo,0.3347
10053.0,10056.0,Vireo philadelphicus,Philadelphia Vireo,0.1236
10056.0,10059.0,Empidonax virescens,Acadian Flycatcher,0.3615
10059.0,10062.0,Empidonax virescens,Acadian Flycatcher,0.3767
10062.0,10065.0,Vireo olivaceus,Red-eyed Vireo,0.1922
10062.0,10065.0,Vireo solitarius,Blue-headed Vireo,0.1037
10065.0,10068.0,Vireo olivaceus,Red-eyed Vireo,0.1186
10071.0,10074.0,Pipilo erythrophthalmus,Eastern Towhee,0.4166
10071.0,10074.0,Cardinalis cardinalis,Northern Cardinal,0.3516
10071.0,10074.0,Piranga olivacea,Scarlet Tanager,0.2156
10074.0,10077.0,Pipilo erythrophthalmus,Eastern Towhee,0.1734
10074.0,10077.0,Geothlypis formosa,Kentucky Warbler,0.1407
10077.0,10080.0,Pipilo erythrophthalmus,Eastern Towhee,0.1071
10080.0,10083.0,Vireo olivaceus,Red-eyed Vireo,0.1182
10080.0,10083.0,Vireo solitarius,Blue-headed Vireo,0.1097
10083.0,10086.0,Geothlypis formosa,Kentucky Warbler,0.1278
10086.0,10089.0,Vireo olivaceus,Red-eyed Vireo,0.1598
10089.0,10092.0,Vireo olivaceus,Red-eyed Vireo,0.3868
10089.0,10092.0,Pipilo erythrophthalmus,Eastern Towhee,0.2211
10089.0,10092.0,Empidonax virescens,Acadian Flycatcher,0.2075
10092.0,10095.0,Vireo flavifrons,Yellow-throated Vireo,0.2640
10095.0,10098.0,Vireo olivaceus,Red-eyed Vireo,0.2258
10098.0,10101.0,Limnothlypis swainsonii,Swainson's Warbler,0.2508
10098.0,10101.0,Vireo olivaceus,Red-eyed Vireo,0.1578
10101.0,10104.0,Vireo olivaceus,Red-eyed Vireo,0.1515
10104.0,10107.0,Pipilo erythrophthalmus,Eastern Towhee,0.2459
10104.0,10107.0,Cardinalis cardinalis,Northern Cardinal,0.1119
10107.0,10110.0,Empidonax virescens,Acadian Flycatcher,0.1297
10110.0,10113.0,Pipilo erythrophthalmus,Eastern Towhee,0.3263
10113.0,10116.0,Vireo solitarius,Blue-headed Vireo,0.1663
10113.0,10116.0,Hylocichla mustelina,Wood Thrush,0.1648
10113.0,10116.0,Pipilo erythrophthalmus,Eastern Towhee,0.1426
10116.0,10119.0,Pipilo erythrophthalmus,Eastern Towhee,0.1375
10116.0,10119.0,Vireo solitarius,Blue-headed Vireo,0.1049
10119.0,10122.0,Limnothlypis swainsonii,Swainson's Warbler,0.1417
10119.0,10122.0,Geothlypis formosa,Kentucky Warbler,0.1293
10122.0,10125.0,Vireo olivaceus,Red-eyed Vireo,0.1689
10128.0,10131.0,Limnothlypis swainsonii,Swainson's Warbler,0.1733
10134.0,10137.0,Pipilo erythrophthalmus,Eastern Towhee,0.1399
10140.0,10143.0,Pipilo erythrophthalmus,Eastern Towhee,0.2074
10143.0,10146.0,Hylocichla mustelina,Wood Thrush,0.7497
10146.0,10149.0,Pipilo erythrophthalmus,Eastern Towhee,0.7642
10146.0,10149.0,Hylocichla mustelina,Wood Thrush,0.2937
10146.0,10149.0,Cyanocitta cristata,Blue Jay,0.2380
10146.0,10149.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1665
10146.0,10149.0,Vireo solitarius,Blue-headed Vireo,0.1094
10149.0,10152.0,Pipilo erythrophthalmus,Eastern Towhee,0.1802
10149.0,10152.0,Empidonax virescens,Acadian Flycatcher,0.1015
10152.0,10155.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1879
10152.0,10155.0,Vireo olivaceus,Red-eyed Vireo,0.1252
10155.0,10158.0,Hylocichla mustelina,Wood Thrush,0.1378
10155.0,10158.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1133
10158.0,10161.0,Hylocichla mustelina,Wood Thrush,0.2871
10158.0,10161.0,Cyanocitta cristata,Blue Jay,0.1979
10158.0,10161.0,Pipilo erythrophthalmus,Eastern Towhee,0.1339
10158.0,10161.0,Turdus migratorius,American Robin,0.1273
10158.0,10161.0,Empidonax virescens,Acadian Flycatcher,0.1185
10158.0,10161.0,Cardinalis cardinalis,Northern Cardinal,0.1141
10161.0,10164.0,Pipilo erythrophthalmus,Eastern Towhee,0.1027
10164.0,10167.0,Hylocichla mustelina,Wood Thrush,0.1674
10164.0,10167.0,Vireo olivaceus,Red-eyed Vireo,0.1620
10164.0,10167.0,Pipilo erythrophthalmus,Eastern Towhee,0.1499
10164.0,10167.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1001
10170.0,10173.0,Hylocichla mustelina,Wood Thrush,0.1711
10170.0,10173.0,Pipilo erythrophthalmus,Eastern Towhee,0.1327
10170.0,10173.0,Vireo solitarius,Blue-headed Vireo,0.1018
10173.0,10176.0,Empidonax virescens,Acadian Flycatcher,0.6333
10173.0,10176.0,Geothlypis formosa,Kentucky Warbler,0.1266
10173.0,10176.0,Limnothlypis swainsonii,Swainson's Warbler,0.1095
10176.0,10179.0,Piranga olivacea,Scarlet Tanager,0.7250
10176.0,10179.0,Empidonax virescens,Acadian Flycatcher,0.3538
10179.0,10182.0,Empidonax virescens,Acadian Flycatcher,0.4729
10179.0,10182.0,Limnothlypis swainsonii,Swainson's Warbler,0.1829
10182.0,10185.0,Vireo olivaceus,Red-eyed Vireo,0.1197
10185.0,10188.0,Pipilo erythrophthalmus,Eastern Towhee,0.1498
10185.0,10188.0,Hylocichla mustelina,Wood Thrush,0.1094
10188.0,10191.0,Limnothlypis swainsonii,Swainson's Warbler,0.1729
10191.0,10194.0,Geothlypis formosa,Kentucky Warbler,0.1562
10191.0,10194.0,Limnothlypis swainsonii,Swainson's Warbler,0.1518
10191.0,10194.0,Empidonax virescens,Acadian Flycatcher,0.1500
10194.0,10197.0,Limnothlypis swainsonii,Swainson's Warbler,0.1153
10194.0,10197.0,Geothlypis formosa,Kentucky Warbler,0.1124
10197.0,10200.0,Empidonax virescens,Acadian Flycatcher,0.3919
10197.0,10200.0,Vireo olivaceus,Red-eyed Vireo,0.1321
102.0,105.0,Hylocichla mustelina,Wood Thrush,0.1326
102.0,105.0,Seiurus aurocapilla,Ovenbird,0.1226
10200.0,10203.0,Coccyzus americanus,Yellow-billed Cuckoo,0.2530
10200.0,10203.0,Pipilo erythrophthalmus,Eastern Towhee,0.1253
10203.0,10206.0,Empidonax virescens,Acadian Flycatcher,0.7285
10203.0,10206.0,Limnothlypis swainsonii,Swainson's Warbler,0.1224
10203.0,10206.0,Setophaga citrina,Hooded Warbler,0.1199
10206.0,10209.0,Empidonax virescens,Acadian Flycatcher,0.1728
10209.0,10212.0,Piranga olivacea,Scarlet Tanager,0.2754
10209.0,10212.0,Pipilo erythrophthalmus,Eastern Towhee,0.2159
10209.0,10212.0,Empidonax virescens,Acadian Flycatcher,0.2078
10212.0,10215.0,Pipilo erythrophthalmus,Eastern Towhee,0.3521
10212.0,10215.0,Hylocichla mustelina,Wood Thrush,0.3397
10212.0,10215.0,Baeolophus bicolor,Tufted Titmouse,0.2042
10212.0,10215.0,Setophaga virens,Black-throated Green Warbler,0.1483
10215.0,10218.0,Pipilo erythrophthalmus,Eastern Towhee,0.1141
10218.0,10221.0,Cardinalis cardinalis,Northern Cardinal,0.4462
10218.0,10221.0,Turdus migratorius,American Robin,0.4324
10218.0,10221.0,Pipilo erythrophthalmus,Eastern Towhee,0.3625
10221.0,10224.0,Pipilo erythrophthalmus,Eastern Towhee,0.2608
10224.0,10227.0,Pipilo erythrophthalmus,Eastern Towhee,0.7064
10224.0,10227.0,Cyanocitta cristata,Blue Jay,0.1677
10227.0,10230.0,Pipilo erythrophthalmus,Eastern Towhee,0.3784
10227.0,10230.0,Cardinalis cardinalis,Northern Cardinal,0.1794
10230.0,10233.0,Geothlypis formosa,Kentucky Warbler,0.1352
10230.0,10233.0,Limnothlypis swainsonii,Swainson's Warbler,0.1271
10236.0,10239.0,Pipilo erythrophthalmus,Eastern Towhee,0.6253
10239.0,10242.0,Empidonax virescens,Acadian Flycatcher,0.2099
10239.0,10242.0,Limnothlypis swainsonii,Swainson's Warbler,0.1382
10242.0,10245.0,Pipilo erythrophthalmus,Eastern Towhee,0.3199
10242.0,10245.0,Hylocichla mustelina,Wood Thrush,0.2267
10242.0,10245.0,Cardinalis cardinalis,Northern Cardinal,0.1067
10245.0,10248.0,Pipilo erythrophthalmus,Eastern Towhee,0.1267
10248.0,10251.0,Pipilo erythrophthalmus,Eastern Towhee,0.8446
10248.0,10251.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.5145
10248.0,10251.0,Geothlypis trichas,Common Yellowthroat,0.2578
10248.0,10251.0,Cardinalis cardinalis,Northern Cardinal,0.1205
10248.0,10251.0,Cyanocitta cristata,Blue Jay,0.1031
10251.0,10254.0,Pipilo erythrophthalmus,Eastern Towhee,0.1318
10254.0,10257.0,Empidonax virescens,Acadian Flycatcher,0.2917
10254.0,10257.0,Pipilo erythrophthalmus,Eastern Towhee,0.1282
10257.0,10260.0,Pipilo erythrophthalmus,Eastern Towhee,0.1435
1026.0,1029.0,Hylocichla mustelina,Wood Thrush,0.1459
1026.0,1029.0,Seiurus aurocapilla,Ovenbird,0.1290
10260.0,10263.0,Pipilo erythrophthalmus,Eastern Towhee,0.2107
10260.0,10263.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1145
10263.0,10266.0,Pipilo erythrophthalmus,Eastern Towhee,0.2403
10269.0,10272.0,Empidonax virescens,Acadian Flycatcher,0.3334
10272.0,10275.0,Empidonax virescens,Acadian Flycatcher,0.1326
10272.0,10275.0,Hylocichla mustelina,Wood Thrush,0.1276
10272.0,10275.0,Pipilo erythrophthalmus,Eastern Towhee,0.1042
10275.0,10278.0,Limnothlypis swainsonii,Swainson's Warbler,0.2006
10278.0,10281.0,Pipilo erythrophthalmus,Eastern Towhee,0.5685
10278.0,10281.0,Cyanocitta cristata,Blue Jay,0.3151
10281.0,10284.0,Pipilo erythrophthalmus,Eastern Towhee,0.1249
10284.0,10287.0,Limnothlypis swainsonii,Swainson's Warbler,0.2003
10284.0,10287.0,Geothlypis formosa,Kentucky Warbler,0.1124
10287.0,10290.0,Empidonax virescens,Acadian Flycatcher,0.9057
10290.0,10293.0,Pipilo erythrophthalmus,Eastern Towhee,0.2109
10290.0,10293.0,Geothlypis formosa,Kentucky Warbler,0.1302
10293.0,10296.0,Limnothlypis swainsonii,Swainson's Warbler,0.1322
10296.0,10299.0,Limnothlypis swainsonii,Swainson's Warbler,0.1049
10302.0,10305.0,Limnothlypis swainsonii,Swainson's Warbler,0.1446
10305.0,10308.0,Limnothlypis swainsonii,Swainson's Warbler,0.1179
10308.0,10311.0,Geothlypis formosa,Kentucky Warbler,0.1109
10314.0,10317.0,Limnothlypis swainsonii,Swainson's Warbler,0.1491
10317.0,10320.0,Pipilo erythrophthalmus,Eastern Towhee,0.4292
10320.0,10323.0,Geothlypis formosa,Kentucky Warbler,0.2391
10323.0,10326.0,Pipilo erythrophthalmus,Eastern Towhee,0.2099
10323.0,10326.0,Coccyzus americanus,Yellow-billed Cuckoo,0.1419
10332.0,10335.0,Piranga olivacea,Scarlet Tanager,0.1052
10332.0,10335.0,Geothlypis formosa,Kentucky Warbler,0.1043
10347.0,10350.0,Empidonax virescens,Acadian Flycatcher,0.5408
10350.0,10353.0,Empidonax virescens,Acadian Flycatcher,0.1162
10350.0,10353.0,Limnothlypis swainsonii,Swainson's Warbler,0.1110
10353.0,10356.0,Pipilo erythrophthalmus,Eastern Towhee,0.2344
10359.0,10362.0,Empidonax virescens,Acadian Flycatcher,0.1851
10359.0,10362.0,Geothlypis formosa,Kentucky Warbler,0.1663
10359.0,10362.0,Limnothlypis swainsonii,Swainson's Warbler,0.1623
10359.0,10362.0,Helmitheros vermivorum,Worm-eating Warbler,0.1345
10359.0,10362.0,Piranga olivacea,Scarlet Tanager,0.1200
10362.0,10365.0,Limnothlypis swainsonii,Swainson's Warbler,0.2242
10362.0,10365.0,Geothlypis formosa,Kentucky Warbler,0.1947
10362.0,10365.0,Empidonax virescens,Acadian Flycatcher,0.1655
10362.0,10365.0,Helmitheros vermivorum,Worm-eating Warbler,0.1203
10365.0,10368.0,Limnothlypis swainsonii,Swainson's Warbler,0.2280
10365.0,10368.0,Geothlypis formosa,Kentucky Warbler,0.1959
10365.0,10368.0,Empidonax virescens,Acadian Flycatcher,0.1693
10368.0,10371.0,Limnothlypis swainsonii,Swainson's Warbler,0.1275
10371.0,10374.0,Geothlypis formosa,Kentucky Warbler,0.1389
10371.0,10374.0,Limnothlypis swainsonii,Swainson's Warbler,0.1256
10371.0,10374.0,Empidonax virescens,Acadian Flycatcher,0.1029
10371.0,10374.0,Vireo olivaceus,Red-eyed Vireo,0.1024
10374.0,10377.0,Empidonax virescens,Acadian Flycatcher,0.1650
10374.0,10377.0,Geothlypis formosa,Kentucky Warbler,0.1411
10374.0,10377.0,Limnothlypis swainsonii,Swainson's Warbler,0.1256
10377.0,10380.0,Limnothlypis swainsonii,Swainson's Warbler,0.2424
10377.0,10380.0,Empidonax virescens,Acadian Flycatcher,0.1808
10377.0,10380.0,Geothlypis formosa,Kentucky Warbler,0.1554
1038.0,1041.0,Cyanocitta cristata,Blue Jay,0.1764
10380.0,10383.0,Limnothlypis swainsonii,Swainson's Warbler,0.2240
10383.0,10386.0,Limnothlypis swainsonii,Swainson's Warbler,0.2363
10383.0,10386.0,Empidonax virescens,Acadian Flycatcher,0.1092
10386.0,10389.0,Geothlypis formosa,Kentucky Warbler,0.2330
10386.0,10389.0,Empidonax virescens,Acadian Flycatcher,0.2017
10386.0,10389.0,Limnothlypis swainsonii,Swainson's Warbler,0.1629
10389.0,10392.0,Hylocichla mustelina,Wood Thrush,0.2309
10389.0,10392.0,Pipilo erythrophthalmus,Eastern Towhee,0.2012
10392.0,10395.0,Piranga olivacea,Scarlet Tanager,0.3618
10392.0,10395.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.1941
10392.0,10395.0,Pipilo erythrophthalmus,Eastern Towhee,0.1197
10395.0,10398.0,Limnothlypis swainsonii,Swainson's Warbler,0.1269
10395.0,10398.0,Empidonax virescens,Acadian Flycatcher,0.1093
10395.0,10398.0,Geothlypis formosa,Kentucky Warbler,0.1045
10398.0,10401.0,Limnothlypis swainsonii,Swainson's Warbler,0.3843
10398.0,10401.0,Geothlypis formosa,Kentucky Warbler,0.2073
10398.0,10401.0,Empidonax virescens,Acadian Flycatcher,0.1937
10398.0,10401.0,Setophaga citrina,Hooded Warbler,0.1202
10401.0,10404.0,Empidonax virescens,Acadian Flycatcher,0.3437
10404.0,10407.0,Empidonax virescens,Acadian Flycatcher,0.2655
10404.0,10407.0,Limnothlypis swainsonii,Swainson's Warbler,0.2129
10404.0,10407.0,Geothlypis formosa,Kentucky Warbler,0.1720
10407.0,10410.0,Pipilo erythrophthalmus,Eastern Towhee,0.3372
10410.0,10413.0,Empidonax virescens,Acadian Flycatcher,0.2563
10413.0,10416.0,Empidonax virescens,Acadian Flycatcher,0.2328
10413.0,10416.0,Pipilo erythrophthalmus,Eastern Towhee,0.1753
10416.0,10419.0,Empidonax virescens,Acadian Flycatcher,0.9383
10416.0,10419.0,Setophaga citrina,Hooded Warbler,0.1603
10425.0,10428.0,Pipilo erythrophthalmus,Eastern Towhee,0.1012
10428.0,10431.0,Empidonax virescens,Acadian Flycatcher,0.5575
10428.0,10431.0,Limnothlypis swainsonii,Swainson's Warbler,0.1722
10431.0,10434.0,Empidonax virescens,Acadian Flycatcher,0.2685
10431.0,10434.0,Piranga olivacea,Scarlet Tanager,0.1374
10434.0,10437.0,Limnothlypis swainsonii,Swainson's Warbler,0.1170
10437.0,10440.0,Empidonax virescens,Acadian Flycatcher,0.1662
