Branta canadensis_Canada goose
Aix sponsa_Wood duck
Anas platyrhynchos_Mallard
Meleagris gallopavo_Wild turkey
Columba livia_Rock pigeon
Zenaida macroura_Mourning dove
Coccyzus americanus_Yellow-billed cuckoo	
Chaetura pelagica_Chimney swift
Archilochus colubris_Ruby-throated hummingbird
Charadrius vociferus_Killdeer
Nannopterum auritum_Double-crested cormorant
Nyctanassa violacea_Yellow-crowned night heron
Butorides virescens_Green heron
Ardea herodias_Great blue heron
Coragyps atratus_Black vulture
Cathartes aura_Turkey vulture
Pandion haliaetus_Osprey
Ictinia mississippiensis_Mississippi kite
Accipiter cooperii_Cooper's hawk
Buteo lineatus_Red-shouldered hawk
Buteo platypterus_Broad-winged hawk
Buteo jamaicensis_Red-tailed hawk
Strix varia_Barred owl
Megaceryle alcyon_Belted kingfisher
Melanerpes erythrocephalus_Red-headed woodpecker
Melanerpes carolinus_Red-bellied woodpecker
Dryobates pubescens_Downy woodpecker
Dryobates villosus_Hairy woodpecker
Dryocopus pileatus_Pileated woodpecker
Colaptes auratus_Northern flicker
Contopus virens_Eastern wood-pewee
Empidonax virescens_Acadian flycatcher
Empidonax traillii_Willow flycatcher
Sayornis phoebe_Eastern phoebe
Myiarchus crinitus_Great crested flycatcher
Tyrannus tyrannus_Eastern kingbird
Vireo griseus_White-eyed vireo
Vireo flavifrons_Yellow-throated vireo
Vireo solitarius_Blue-headed vireo
Vireo olivaceus_Red-eyed vireo
Cyanocitta cristata_Blue jay
Corvus brachyrhynchos_American crow
Corvus ossifragus_Fish crow	
Poecile carolinensis_Carolina chickadee
Baeolophus bicolor_Tufted titmouse
Tachycineta bicolor_Tree swallow
Progne subis_Purple martin
Stelgidopteryx serripennis_Northern rough-winged swallow
Hirundo rustica_Barn swallow
Sitta carolinensis_White-breasted nuthatch
Sitta pusilla_Brown-headed nuthatch
Polioptila caerulea_Blue-gray gnatcatcher
Troglodytes aedon_House wren
Thryothorus ludovicianus_Carolina wren
Sturnus vulgaris_European starling
Dumetella carolinensis_Gray catbird
Toxostoma rufum_Brown thrasher
Mimus polyglottos_Northern mockingbird
Sialia sialis_Eastern bluebird
Hylocichla mustelina_Wood thrush
Turdus migratorius_American robin
Bombycilla cedrorum_Cedar waxwing
Haemorhous mexicanus_House finch
Spinus tristis_American goldfinch
Spizella passerina_Chipping sparrow
Spizella pusilla_Field sparrow
Zonotrichia albicollis_White-throated sparrow
Melospiza melodia_Song sparrow
Pipilo erythrophthalmus_Eastern towhee
Icteria virens_Yellow-breasted chat
Icterus spurius_Orchard oriole
Agelaius phoeniceus_Red-winged blackbird
Molothrus ater_Brown-headed cowbird
Quiscalus quiscula_Common grackle
Seiurus aurocapilla_Ovenbird
Helmitheros vermivorum_Worm-eating warbler
Parkesia motacilla_Louisiana waterthrush
Mniotilta varia_Black-and-white warbler
Protonotaria citrea_Prothonotary warbler
Geothlypis trichas_Common yellowthroat
Setophaga citrina_Hooded warbler
Setophaga ruticilla_American redstart
Setophaga americana_Northern parula
Setophaga pinus_Pine warbler
Setophaga dominica_Yellow-throated warbler
Setophaga discolor_Prairie warbler
Piranga rubra_Summer tanager
Piranga olivacea_Scarlet tanager
Cardinalis cardinalis_Northern cardinal
Passerina caerulea_Blue grosbeak
Passerina cyanea_Indigo bunting
